Date,Open,High,Low,Close,Volume,Dividends
1990-03-13,0.46,0.47,0.45,0.45,85204800,0.0
1990-03-14,0.46,0.46,0.45,0.46,130968000,0.0
1990-03-15,0.46,0.48,0.46,0.47,81676800,0.0
1990-03-16,0.48,0.49,0.48,0.49,118900800,0.0
1990-03-19,0.49,0.5,0.48,0.5,81172800,0.0
1990-03-20,0.5,0.5,0.48,0.48,92145600,0.0
1990-03-21,0.48,0.49,0.48,0.48,69840000,0.0
1990-03-22,0.49,0.49,0.47,0.48,92419200,0.0
1990-03-23,0.48,0.48,0.47,0.47,53596800,0.0
1990-03-26,0.47,0.48,0.47,0.48,55929600,0.0
1990-03-27,0.47,0.48,0.47,0.48,52516800,0.0
1990-03-28,0.48,0.48,0.46,0.47,99532800,0.0
1990-03-29,0.47,0.48,0.47,0.47,64785600,0.0
1990-03-30,0.47,0.47,0.47,0.47,36691200,0.0
1990-04-02,0.47,0.48,0.47,0.48,74059200,0.0
1990-04-03,0.48,0.5,0.48,0.5,84643200,0.0
1990-04-04,0.5,0.51,0.49,0.5,79646400,0.0
1990-04-05,0.5,0.5,0.49,0.49,66369600,0.0
1990-04-06,0.49,0.49,0.48,0.49,72878400,0.0
1990-04-09,0.49,0.49,0.49,0.49,31176000,0.0
1990-04-10,0.49,0.5,0.49,0.5,45187200,0.0
1990-04-11,0.51,0.52,0.51,0.52,70372800,0.0
1990-04-12,0.52,0.52,0.51,0.52,48254400,0.0
1990-04-16,0.52,0.53,0.51,0.52,39470400,0.0
1990-04-17,0.52,0.54,0.51,0.53,66780000,0.0
1990-04-18,0.53,0.53,0.5,0.52,97797600,0.0
1990-04-19,0.51,0.52,0.51,0.51,58003200,0.0
1990-04-20,0.51,0.52,0.5,0.51,44661600,0.0
1990-04-23,0.5,0.51,0.49,0.5,64879200,0.0
1990-04-24,0.51,0.51,0.48,0.5,47916000,0.0
1990-04-25,0.5,0.5,0.49,0.5,53870400,0.0
1990-04-26,0.5,0.5,0.49,0.49,46296000,0.0
1990-04-27,0.49,0.49,0.48,0.48,57124800,0.0
1990-04-30,0.48,0.5,0.48,0.5,51451200,0.0
1990-05-01,0.5,0.5,0.49,0.49,52473600,0.0
1990-05-02,0.49,0.5,0.49,0.5,33264000,0.0
1990-05-03,0.5,0.51,0.5,0.5,45892800,0.0
1990-05-04,0.51,0.53,0.5,0.53,47815200,0.0
1990-05-07,0.53,0.56,0.53,0.55,97351200,0.0
1990-05-08,0.54,0.54,0.53,0.54,50824800,0.0
1990-05-09,0.54,0.54,0.53,0.54,35164800,0.0
1990-05-10,0.54,0.56,0.54,0.55,48801600,0.0
1990-05-11,0.56,0.56,0.54,0.56,49168800,0.0
1990-05-14,0.57,0.57,0.56,0.56,47232000,0.0
1990-05-15,0.56,0.56,0.55,0.55,54122400,0.0
1990-05-16,0.55,0.55,0.54,0.55,38556000,0.0
1990-05-17,0.55,0.56,0.55,0.55,41731200,0.0
1990-05-18,0.55,0.59,0.55,0.58,101822400,0.0
